Firm Name,Group,Reporting period,Banking and credit cards,Decumulation & pensions,Home finance,Insurance & pure protection,Investments,total_upheld_rate,period,year,half,sector,avg_upheld_rate,period_sort,period_date,industry_avg,upheld_deviation,firm_yoy_change,volatility_score
Automobile Association Insurance Services Limited,NO GROUP,2021-08-01 to 2022-01-31,,,,0.3465,,,2022-h1,2022,h1,Insurance,34.65,1,2022-01-01,52.00837250000001,-17.35837250000001,2.3800000000000026,5.700000000000003
Avantia Insurance Limited,NO GROUP,2022-01-01 to 2022-06-30,,,,,,,2022-h1,2022,h1,Insurance,,1,2022-01-01,52.00837250000001,,,38.61
Aviva Insurance Limited,NO GROUP,2022-01-01 to 2022-06-30,,,,0.6113,,,2022-h1,2022,h1,Insurance,61.13,1,2022-01-01,52.00837250000001,9.121627499999995,-3.740000000000009,9.463956959389115
Aviva Life Services UK Limited,AVIVA PLC,2022-01-01 to 2022-06-30,,0.6882,0.3874,0.5057,0.6966,,2022-h1,2022,h1,Insurance,56.947500000000005,1,2022-01-01,52.00837250000001,4.939127499999998,1.0874999999999844,10.703499999999984
AWP Assistance UK Ltd,ALLIANZ SE,2022-01-01 to 2022-06-30,,,,0.7974,,,2022-h1,2022,h1,Insurance,79.74,1,2022-01-01,52.00837250000001,27.731627499999988,0.9900000000000092,17.83
AXA Insurance UK Plc,AXA SA,2022-01-01 to 2022-06-30,,,,0.659,,,2022-h1,2022,h1,Insurance,65.9,1,2022-01-01,52.00837250000001,13.891627499999998,-8.430000000000007,8.430000000000007
AXA PPP Healthcare Limited,AXA SA,2022-01-01 to 2022-06-30,,,,0.531,,,2022-h1,2022,h1,Insurance,53.1,1,2022-01-01,52.00837250000001,1.0916274999999942,2.0899999999999963,16.069999999999986
Bank of Ireland (UK) Plc,BANK OF IRELAND GROUP PLC,2022-01-01 to 2022-06-30,0.457,,0.4291,,,,2022-h1,2022,h1,Banking,44.305,1,2022-01-01,52.00837250000001,-7.703372500000007,-18.405,19.520000000000003
Bank of Scotland plc,LLOYDS BANKING GROUP PLC,2022-01-01 to 2022-06-30,0.6649,0.3571,0.5633,0.0776,0.3311,,2022-h1,2022,h1,Banking,39.88,1,2022-01-01,52.00837250000001,-12.128372500000005,7.421999999999997,9.705027973768985
Barbon Insurance Group Limited,NO GROUP,2022-01-01 to 2022-06-30,,,,0.5088,,,2022-h1,2022,h1,Insurance,50.88,1,2022-01-01,52.00837250000001,-1.1283725000000049,,
Barclays Bank Plc,BARCLAYS PLC,2022-01-01 to 2022-06-30,0.7026,,0.8333,,0.2927,,2022-h1,2022,h1,Banking,60.95333333333334,1,2022-01-01,52.00837250000001,8.944960833333333,-2.910833333333344,34.24965832032797
Barclays Bank UK PLC,BARCLAYS PLC,2022-01-01 to 2022-06-30,0.6297,0.4746,0.7345,0.3999,0.5847,,2022-h1,2022,h1,Banking,56.468,1,2022-01-01,52.00837250000001,4.459627499999996,-12.20600000000001,13.81000000000001
