Firm Name,Group,Reporting period,Banking and credit cards,Decumulation & pensions,Home finance,Insurance & pure protection,Investments,total_upheld_rate,period,year,half,sector,avg_upheld_rate,period_sort,period_date,industry_avg,upheld_deviation,firm_yoy_change,volatility_score
Pinnacle Insurance Plc,BNP PARIBAS GROUP,2022-07-01 to 2022-12-31,,,,0.303,,0.303,2022-h2,2022,h2,Insurance,30.3,2,2022-07-01,50.67491866028709,-20.374918660287083,,9.989999999999998
Post Office Management Services Limited,POST OFFICE LIMITED,2022-04-01 to 2022-09-30,,,,0.4206,,0.4206,2022-h2,2022,h2,Insurance,42.06,2,2022-07-01,50.67491866028709,-8.614918660287081,,8.489999999999995
Principality Building Society,PRINCIPALITY BUILDING SOCIETY,2022-07-01 to 2022-12-31,0.5211,,0.4976,,,0.5054,2022-h2,2022,h2,Banking,50.935,2,2022-07-01,50.67491866028709,0.2600813397129187,-12.48916666666667,16.251666666666672
QBE UK Limited,QBE INSURANCE GROUP,2022-07-01 to 2022-12-31,,,,0.6536,,0.6536,2022-h2,2022,h2,Insurance,65.36,2,2022-07-01,50.67491866028709,14.685081339712916,-29.029999999999998,29.029999999999994
Qmetric Group Limited,NO GROUP,2022-04-01 to 2022-09-30,,,,0.1783,,0.1783,2022-h2,2022,h2,Insurance,17.83,2,2022-07-01,50.67491866028709,-32.844918660287085,24.05,26.700000000000003
Quilter Investment Platform Limited,QUILTER PLC GROUP,2022-07-01 to 2022-12-31,,,,,0.6949,0.6949,2022-h2,2022,h2,Investments,69.49,2,2022-07-01,50.67491866028709,18.81508133971291,,7.810000000000002
Quilter Life & Pensions Limited,QUILTER PLC GROUP,2022-07-01 to 2022-12-31,,0.6886,,,0.71,0.6911,2022-h2,2022,h2,Insurance,69.93,2,2022-07-01,50.67491866028709,19.255081339712923,-6.750000000000014,11.709999999999994
RAC Motoring Services,RAC GROUP (HOLDINGS) LIMITED,2022-07-01 to 2022-12-31,,,,0.3111,,0.3111,2022-h2,2022,h2,Insurance,31.11,2,2022-07-01,50.67491866028709,-19.564918660287084,,16.45349775267949
RBS Collective Investment Funds Limited,THE ROYAL BANK OF SCOTLAND GROUP,2022-07-01 to 2022-12-31,,,,,0.6808,0.6808,2022-h2,2022,h2,Investments,68.08,2,2022-07-01,50.67491866028709,17.405081339712915,-58.24000000000001,75.81112683723462
ReAssure Life Limited,PHOENIX GROUP,2022-07-01 to 2022-12-31,,0.7372,,0.7628,0.7456,0.7494,2022-h2,2022,h2,Insurance,74.85333333333334,2,2022-07-01,50.67491866028709,24.17841467304625,15.083333333333329,16.96333333333334
ReAssure Limited,PHOENIX GROUP,2022-07-01 to 2022-12-31,,0.7251,,0.6064,0.6803,0.7017,2022-h2,2022,h2,Insurance,67.06,2,2022-07-01,50.67491866028709,16.38508133971292,-2.3075000000000045,20.796666666666667
Reassured Ltd,NO GROUP,2022-02-01 to 2022-07-31,,,,0.5648,,0.5648,2022-h2,2022,h2,Insurance,56.48,2,2022-07-01,50.67491866028709,5.805081339712913,-18.73,18.729999999999997
Rock Insurance Services Limited,NO GROUP,2022-07-01 to 2022-12-31,,,,0.3137,,0.3137,2022-h2,2022,h2,Insurance,31.37,2,2022-07-01,50.67491866028709,-19.304918660287083,,42.06
Royal & Sun Alliance Insurance Limited,RSA INSURANCE UK,2022-07-01 to 2022-12-31,,,,0.5945,,0.5945,2022-h2,2022,h2,Insurance,59.45,2,2022-07-01,50.67491866028709,8.77508133971292,,15.602168605486142
Sabre Insurance Company Limited,SABRE INSURANCE GROUP PLC,2022-07-01 to 2022-12-31,,,,0.5581,,0.5581,2022-h2,2022,h2,Insurance,55.81,2,2022-07-01,50.67491866028709,5.135081339712919,,23.15999999999999
Saga Services Limited,SAGA PLC,2022-02-01 to 2022-07-31,,,,0.542,,0.542,2022-h2,2022,h2,Insurance,54.2,2,2022-07-01,50.67491866028709,3.5250813397129197,-8.429999999999993,14.369999999999997
Santander Consumer (UK) Plc,SANTANDER UK GROUP,2022-07-01 to 2022-12-31,,,,,,0.0,2022-h2,2022,h2,Other,,2,2022-07-01,50.67491866028709,,,40.53
Santander UK Plc,SANTANDER UK GROUP,2022-07-01 to 2022-12-31,0.4602,0.3448,0.5406,0.6271,0.0794,0.4678,2022-h2,2022,h2,Insurance,41.04199999999999,2,2022-07-01,50.67491866028709,-9.632918660287096,19.692,21.542
Scottish Equitable Plc,AEGON N.V.,2022-07-01 to 2022-12-31,,0.6065,,0.4734,0.4773,0.5911,2022-h2,2022,h2,Insurance,51.906666666666666,2,2022-07-01,50.67491866028709,1.2317480063795827,13.536666666666669,18.36746828399545
Scottish Friendly Assurance Society Limited,NO GROUP,2022-07-01 to 2022-12-31,,0.8377,,0.5403,0.7547,0.7459,2022-h2,2022,h2,Insurance,71.09,2,2022-07-01,50.67491866028709,20.41508133971292,-5.116666666666674,9.580000000000013
Scottish Widows Administration Services Limited,LLOYDS BANKING GROUP PLC,2022-07-01 to 2022-12-31,,0.6058,,,,0.6058,2022-h2,2022,h2,Insurance,60.58,2,2022-07-01,50.67491866028709,9.905081339712916,,24.87712665406427
Scottish Widows Limited,LLOYDS BANKING GROUP PLC,2022-07-01 to 2022-12-31,,0.8604,,0.8114,0.9229,0.8642,2022-h2,2022,h2,Investments,86.49000000000001,2,2022-07-01,50.67491866028709,35.815081339712926,,
Scottish Widows Unit Trust Managers Limited,LLOYDS BANKING GROUP PLC,2022-07-01 to 2022-12-31,,,,,0.7643,0.7643,2022-h2,2022,h2,Investments,76.42999999999999,2,2022-07-01,50.67491866028709,25.75508133971291,4.159999999999997,6.601729323308263
Secure Trust Bank Plc,SECURE TRUST BANK PLC,2022-07-01 to 2022-12-31,0.5527,,,,,0.5527,2022-h2,2022,h2,Banking,55.27,2,2022-07-01,50.67491866028709,4.59508133971292,,55.14
Shawbrook Bank Limited,SHAWBROOK GROUP PLC,2022-07-01 to 2022-12-31,0.6234,,0.4947,,,0.5855,2022-h2,2022,h2,Banking,55.905,2,2022-07-01,50.67491866028709,5.2300813397129176,-2.0449999999999946,23.39666666666666
Shop Direct Finance Company Limited,THE VERY GROUP,2022-07-01 to 2022-12-31,,,,0.2536,,0.2536,2022-h2,2022,h2,Mortgage & Lending,25.36,2,2022-07-01,50.67491866028709,-25.314918660287084,,42.61
Simplyhealth Access,SIMPLYHEALTH GROUP LIMITED,2022-07-01 to 2022-12-31,,,,0.3579,,0.3579,2022-h2,2022,h2,Insurance,35.79,2,2022-07-01,50.67491866028709,-14.884918660287084,-3.039999999999999,8.25
Skipton Building Society,SKIPTON BUILDING SOCIETY,2022-07-01 to 2022-12-31,0.7808,0.7667,0.5749,0.5,0.6408,0.726,2022-h2,2022,h2,Banking,65.264,2,2022-07-01,50.67491866028709,14.589081339712912,-1.5759999999999792,10.67199999999999
Society of Lloyd's,SOCIETY OF LLOYD'S,2022-07-01 to 2022-12-31,,,,0.4751,,0.4751,2022-h2,2022,h2,Insurance,47.510000000000005,2,2022-07-01,50.67491866028709,-3.1649186602870785,1.3299999999999983,6.64766648619382
St James's Place UK plc,ST. JAMES'S PLACE PLC,2022-07-01 to 2022-12-31,,0.7654,,0.7,0.8107,0.7778,2022-h2,2022,h2,Investments,75.86999999999998,2,2022-07-01,50.67491866028709,25.195081339712893,,18.373393148450248
St. James's Place Wealth Management Plc,ST. JAMES'S PLACE PLC,2022-07-01 to 2022-12-31,,0.2691,0.6,0.2188,0.2463,0.2603,2022-h2,2022,h2,Mortgage & Lending,33.35499999999999,2,2022-07-01,50.67491866028709,-17.319918660287094,6.549500000000002,26.415000000000013
Standard Life Assurance Limited,PHOENIX GROUP,2022-07-01 to 2022-12-31,,0.5743,0.75,0.3636,0.4711,0.5658,2022-h2,2022,h2,Insurance,53.975,2,2022-07-01,50.67491866028709,3.300081339712918,,16.942321187651785
Starling Bank Limited,NO GROUP,2022-04-01 to 2022-09-30,0.3068,,,,,0.3068,2022-h2,2022,h2,Banking,30.680000000000003,2,2022-07-01,50.67491866028709,-19.99491866028708,16.58,32.260000000000005
Starr International (Europe) Limited,"STARR INTERNATIONAL COMPANY, INC.",2022-07-01 to 2022-12-31,,,,0.2223,,0.2223,2022-h2,2022,h2,Insurance,22.23,2,2022-07-01,50.67491866028709,-28.444918660287083,,31.069999999999997
Stellantis Financial Services UK Limited,STELLANTIS FINANCIAL SERVICES UK LTD,2022-07-01 to 2022-12-31,,,,0.25,,0.25,2022-h2,2022,h2,Insurance,25.0,2,2022-07-01,50.67491866028709,-25.674918660287084,,
Studio Retail Limited,NO GROUP,2022-05-01 to 2022-10-31,,,,0.8667,0.8667,0.8667,2022-h2,2022,h2,Insurance,86.67,2,2022-07-01,50.67491866028709,35.99508133971292,,
Sun Life Assurance Company of Canada (U.K.) Limited,SUN LIFE FINANCIAL INC.,2022-07-01 to 2022-12-31,,0.8082,,0.8912,0.867,0.8445,2022-h2,2022,h2,Insurance,85.54666666666665,2,2022-07-01,50.67491866028709,34.87174800637957,,33.736666666666665
Target Servicing Limited,NO GROUP,2022-04-01 to 2022-09-30,,,0.4268,,,0.4268,2022-h2,2022,h2,Mortgage & Lending,42.68,2,2022-07-01,50.67491866028709,-7.994918660287084,,
Telefonica Seguros y Reaseguros Compania Aseguradora S.A.U.,TELEFONICA GROUP,2022-07-01 to 2022-12-31,,,,0.6224,,0.6224,2022-h2,2022,h2,Insurance,62.24,2,2022-07-01,50.67491866028709,11.565081339712918,-9.209999999999994,9.209999999999994
Telefonica UK Limited,TELEFONICA GROUP,2022-07-01 to 2022-12-31,,,,0.6111,,0.6111,2022-h2,2022,h2,Insurance,61.11,2,2022-07-01,50.67491866028709,10.435081339712916,,35.650000000000006
Tesco Personal Finance PLC,TESCO BANK (TESCO PLC),2022-03-01 to 2022-08-31,0.4972,,,0.3699,,0.4794,2022-h2,2022,h2,Mortgage & Lending,43.355,2,2022-07-01,50.67491866028709,-7.319918660287087,,7.710000000000001
Tesco Underwriting Limited,TESCO BANK (TESCO PLC),2022-03-01 to 2022-08-31,,,,0.5381,,0.5381,2022-h2,2022,h2,Insurance,53.81,2,2022-07-01,50.67491866028709,3.1350813397129187,1.4199999999999946,11.219238754325275
The Co-operative Bank Plc,CO-OPERATIVE BANK HOLDINGS (THE),2022-07-01 to 2022-12-31,0.4908,0.3333,0.5298,0.5,0.25,0.4935,2022-h2,2022,h2,Banking,42.078,2,2022-07-01,50.67491866028709,-8.59691866028708,13.438000000000002,36.13600000000001
The Mortgage Business Plc,LLOYDS BANKING GROUP PLC,2022-07-01 to 2022-12-31,,,0.4477,,,0.4477,2022-h2,2022,h2,Mortgage & Lending,44.77,2,2022-07-01,50.67491866028709,-5.9049186602870805,,3.6000000000000014
The Mortgage Works (UK) Plc,NATIONWIDE BUILDING SOCIETY,2022-04-01 to 2022-09-30,,,0.6548,,,0.6548,2022-h2,2022,h2,Mortgage & Lending,65.48,2,2022-07-01,50.67491866028709,14.80508133971292,-0.8299999999999983,20.760000000000005
The National Farmers' Union Mutual Insurance Society Limited,NFU MUTUAL INSURANCE SOCIETY LIMITED,2022-07-01 to 2022-12-31,,0.3373,,0.6042,0.3333,0.5974,2022-h2,2022,h2,Insurance,42.493333333333325,2,2022-07-01,50.67491866028709,-8.181585326953758,5.823333333333331,15.897716376288798
The Prudential Assurance Company Limited,PRUDENTIAL PLC,2022-07-01 to 2022-12-31,,0.863,0.3125,0.8918,0.8549,0.8618,2022-h2,2022,h2,Insurance,73.055,2,2022-07-01,50.67491866028709,22.380081339712923,-7.872500000000002,13.362499999999997
The Royal Bank of Scotland Plc,NATWEST GROUP,2022-07-01 to 2022-12-31,0.7748,,0.7861,0.6667,0.6286,0.7743,2022-h2,2022,h2,Banking,71.405,2,2022-07-01,50.67491866028709,20.73008133971292,-7.134000000000008,20.67499999999999
The Royal London Mutual Insurance Society Limited,THE ROYAL LONDON MUTUAL INSURANCE SOCIETY LTD,2022-07-01 to 2022-12-31,,0.6498,,0.5242,0.5819,0.6143,2022-h2,2022,h2,Insurance,58.53,2,2022-07-01,50.67491866028709,7.855081339712917,1.7733333333333263,4.9566666666666634
Topaz Finance Limited,NO GROUP,2022-07-01 to 2022-12-31,,,0.6165,,,0.6165,2022-h2,2022,h2,Mortgage & Lending,61.650000000000006,2,2022-07-01,50.67491866028709,10.975081339712922,-11.839999999999996,26.700000000000003
Triodos Bank UK Limited,TRIODOS BANK NV,2022-07-01 to 2022-12-31,0.3708,,,,0.4194,0.3738,2022-h2,2022,h2,Banking,39.51,2,2022-07-01,50.67491866028709,-11.164918660287086,,19.835
TSB Bank plc,BANCO DE SABADELL SA,2022-07-01 to 2022-12-31,0.7368,,0.6335,0.625,,0.729,2022-h2,2022,h2,Banking,66.50999999999999,2,2022-07-01,50.67491866028709,15.835081339712907,-14.63666666666667,14.63666666666667
U K Insurance Limited,DIRECT LINE INSURANCE GROUP PLC,2022-07-01 to 2022-12-31,,,,0.7451,,0.7451,2022-h2,2022,h2,Insurance,74.51,2,2022-07-01,50.67491866028709,23.83508133971292,-5.590000000000003,5.8500000000000085
UBS AG,UBS GROUP AG,2022-07-01 to 2022-12-31,0.2857,,0.1111,,0.6587,0.6181,2022-h2,2022,h2,Investments,35.18333333333333,2,2022-07-01,50.67491866028709,-15.491585326953754,,
"Vanguard Asset Management, Ltd",VANGUARD ASSET MANAGEMENT LTD,2022-07-01 to 2022-12-31,,0.7094,,,0.6407,0.6593,2022-h2,2022,h2,Energy & Utilities,67.50500000000001,2,2022-07-01,50.67491866028709,16.830081339712926,,15.359658273381278
Vanquis Bank Limited,PROVIDENT FINANCIAL PLC,2022-07-01 to 2022-12-31,0.3658,,,,,0.3658,2022-h2,2022,h2,Banking,36.58,2,2022-07-01,50.67491866028709,-14.094918660287084,-13.150000000000002,21.509999999999998
Vitality Corporate Services Limited,DISCOVERY LIMITED,2022-07-01 to 2022-12-31,,0.8182,,0.6506,0.7692,0.6534,2022-h2,2022,h2,Insurance,74.6,2,2022-07-01,50.67491866028709,23.92508133971291,-20.860000000000007,26.949999999999996
Vodafone Limited,VODAFONE GROUP,2022-04-01 to 2022-09-30,,,,0.5643,,0.5643,2022-h2,2022,h2,Insurance,56.43,2,2022-07-01,50.67491866028709,5.755081339712916,-6.43,8.229999999999997
Volkswagen Financial Services (UK) Limited,VOLKSWAGEN GROUP,2022-07-01 to 2022-12-31,,,,,,0.0,2022-h2,2022,h2,Other,,2,2022-07-01,50.67491866028709,,,0.0
Wescot Credit Services Limited,NO GROUP,2022-07-01 to 2022-12-31,0.3435,,,,,0.3435,2022-h2,2022,h2,Mortgage & Lending,34.35,2,2022-07-01,50.67491866028709,-16.324918660287082,,
Xbridge Limited,NO GROUP,2022-07-01 to 2022-12-31,,,,0.4447,,0.4447,2022-h2,2022,h2,Insurance,44.47,2,2022-07-01,50.67491866028709,-6.204918660287085,8.389999999999993,8.389999999999993
Yorkshire Building Society,YORKSHIRE BUILDING SOCIETY,2022-07-01 to 2022-12-31,0.7104,,0.6499,0.3529,0.5,0.6935,2022-h2,2022,h2,Banking,55.33,2,2022-07-01,50.67491866028709,4.655081339712915,-19.27916666666667,26.48666666666667
Zopa Bank Limited,NO GROUP,2022-07-01 to 2022-12-31,0.4846,,,,,0.4846,2022-h2,2022,h2,Banking,48.46,2,2022-07-01,50.67491866028709,-2.2149186602870827,1.6300000000000026,13.747089737233523
Zurich Assurance Ltd,ZURICH INSURANCE GROUP AG,2022-07-01 to 2022-12-31,,0.4263,,0.4615,0.4608,0.4497,2022-h2,2022,h2,Insurance,44.953333333333326,2,2022-07-01,50.67491866028709,-5.7215853269537575,-2.8233333333333306,13.828333333333333
Zurich Insurance PLC,ZURICH INSURANCE GROUP AG,2022-07-01 to 2022-12-31,,,,0.7037,,0.7037,2022-h2,2022,h2,Insurance,70.37,2,2022-07-01,50.67491866028709,19.69508133971292,,
Accord Mortgages Limited,YORKSHIRE BUILDING SOCIETY,2023-01-01 to 2023-06-30,1.0,,0.6033452807646356,,,,2023-h1,2023,h1,Mortgage & Lending,80.16726403823178,3,2023-01-01,50.75419392914733,29.41307010908445,-0.9350000000000024,16.357264038231776
Accredited Insurance (Europe) Ltd,NO GROUP,2023-01-01 to 2023-06-30,,,,0.3129213483146067,,,2023-h1,2023,h1,Mortgage & Lending,31.29213483146067,3,2023-01-01,50.75419392914733,-19.46205909768665,,12.537865168539334
Acm Ulr Limited,BGL GROUP,2023-01-01 to 2023-06-30,,,,0.6855859534503879,,,2023-h1,2023,h1,Insurance,68.55859534503878,3,2023-01-01,50.75419392914733,17.804401415891455,-7.500000000000007,25.908595345038783
Acorn Insurance & Financial Services Ltd,NO GROUP,2023-01-01 to 2023-06-30,,,,0.4611973392461197,,,2023-h1,2023,h1,Insurance,46.11973392461197,3,2023-01-01,50.75419392914733,-4.634460004535356,,9.710266075388027
Acromas Insurance Company Limited,SAGA PLC,2023-01-01 to 2023-06-30,,,,0.4748502159676745,,,2023-h1,2023,h1,Insurance,47.48502159676745,3,2023-01-01,50.75419392914733,-3.269172332379874,,
Adrian Flux Insurance Services Group,NO GROUP,2022-09-01 to 2023-02-28,,,,0.170334928229665,,,2023-h1,2023,h1,Insurance,17.0334928229665,3,2023-01-01,50.75419392914733,-33.720701106180826,6.109999999999999,6.140000000000001
Advanced Payment Solutions Limited,NO GROUP,2022-10-01 to 2023-03-31,0.1631445477599323,,,,,,2023-h1,2023,h1,Banking,16.31445477599323,3,2023-01-01,50.75419392914733,-34.43973915315409,,4.035545224006771
Advisory Insurance Brokers Limited,ARDONAGH GROUP LIMITED,2023-01-01 to 2023-06-30,,,,0.6111665004985045,,,2023-h1,2023,h1,Insurance,61.11665004985045,3,2023-01-01,50.75419392914733,10.362456120703122,-6.750000000000007,11.54
Affinity Insurance Solutions Limited,NO GROUP,2023-01-01 to 2023-06-30,,,,0.336241610738255,,,2023-h1,2023,h1,Insurance,33.6241610738255,3,2023-01-01,50.75419392914733,-17.13003285532183,,32.790000000000006
Ageas Insurance Limited,AGEAS SA-NV,2023-01-01 to 2023-06-30,,,,0.537990821009689,,,2023-h1,2023,h1,Insurance,53.799082100968896,3,2023-01-01,50.75419392914733,3.044888171821569,-1.2899999999999991,9.929082100968898
Ageas Retail Limited,AGEAS SA-NV,2023-01-01 to 2023-06-30,,,,0.4084394904458598,,,2023-h1,2023,h1,Insurance,40.84394904458598,3,2023-01-01,50.75419392914733,-9.910244884561344,11.0,11.0
AIB Group (UK) Plc,AIB GROUP PUBLIC LIMITED COMPANY,2023-01-01 to 2023-06-30,0.4936998854524628,,0.4146341463414634,0.3333333333333333,,,2023-h1,2023,h1,Banking,41.38891217090865,3,2023-01-01,50.75419392914733,-9.36528175823868,,40.265
AIG Life Limited,NO GROUP,2023-01-01 to 2023-06-30,,,,0.4324712643678161,,,2023-h1,2023,h1,Insurance,43.247126436781606,3,2023-01-01,50.75419392914733,-7.507067492365721,,
Aioi Nissay Dowa Insurance UK Limited,AIOI NISSAY DOWA EUROPE LIMITED,2023-01-01 to 2023-06-30,,,,0.6161424782114437,,,2023-h1,2023,h1,Insurance,61.61424782114437,3,2023-01-01,50.75419392914733,10.86005389199704,-18.98,18.979999999999997
AJ Bell Management Limited,NO GROUP,2022-10-01 to 2023-03-31,0.7297297297297297,0.4188741721854304,,,,,2023-h1,2023,h1,Banking,57.43019509575801,3,2023-01-01,50.75419392914733,6.676001166610682,15.935000000000002,15.935000000000002
Aldermore Bank Plc,FIRSTRAND LIMITED,2023-01-01 to 2023-06-30,0.7139807897545357,,0.6366723259762309,,,,2023-h1,2023,h1,Banking,67.53265578653833,3,2023-01-01,50.75419392914733,16.778461857391,-1.7700000000000102,8.204999999999998
Allianz Insurance Plc,ALLIANZ SE,2023-01-01 to 2023-06-30,,,,0.7338899034698669,,,2023-h1,2023,h1,Insurance,73.38899034698669,3,2023-01-01,50.75419392914733,22.63479641783936,-14.870000000000005,18.340000000000003
American Express Services Europe Limited (AESEL),AMERICAN EXPRESS,2023-01-01 to 2023-06-30,0.4012224405151713,,,0.2222222222222222,,,2023-h1,2023,h1,Banking,31.17223313686967,3,2023-01-01,50.75419392914733,-19.581960792277656,,5.564999999999998
AMERICAN INTERNATIONAL GROUP UK LIMITED,"AMERICAN INTERNATIONAL GROUP, INC. (AIG)",2023-01-01 to 2023-06-30,,,,0.5796720161361045,,,2023-h1,2023,h1,Insurance,57.967201613610456,3,2023-01-01,50.75419392914733,7.213007684463129,-15.54,17.109999999999992
Amtrust Europe Limited,AMTRUST FINANCIAL SERVICES INC,2023-01-01 to 2023-06-30,,,,0.4730245231607629,,,2023-h1,2023,h1,Insurance,47.30245231607629,3,2023-01-01,50.75419392914733,-3.451741613071036,,7.222452316076293
Animal Friends Insurance Services Ltd,NO GROUP,2023-01-01 to 2023-06-30,,,,0.4260634706279541,,,2023-h1,2023,h1,Insurance,42.60634706279541,3,2023-01-01,50.75419392914733,-8.14784686635192,8.469999999999999,16.94
Arthur J. Gallagher Insurance Brokers Limited,GALLAGHER,2023-01-01 to 2023-06-30,,,,0.5834378920953576,,,2023-h1,2023,h1,Insurance,58.34378920953576,3,2023-01-01,50.75419392914733,7.58959528038843,7.719999999999999,10.060000000000002
Assurant General Insurance Limited,ASSURANT INC,2023-01-01 to 2023-06-30,,,,0.4611996962794229,,,2023-h1,2023,h1,Insurance,46.11996962794229,3,2023-01-01,50.75419392914733,-4.6342243012050375,-9.89,11.600000000000001
Astrenska Insurance Limited,NO GROUP,2022-11-01 to 2023-04-30,,,,0.6541501976284585,,,2023-h1,2023,h1,Insurance,65.41501976284584,3,2023-01-01,50.75419392914733,14.660825833698516,0.7999999999999972,13.435019762845847
Asurion Europe Limited,ASURION,2023-01-01 to 2023-06-30,,,,0.2477386934673366,,,2023-h1,2023,h1,Insurance,24.77386934673365,3,2023-01-01,50.75419392914733,-25.98032458241368,-14.77,14.77
Atlanta Insurance Intermediaries Limited,ARDONAGH GROUP LIMITED,2023-01-01 to 2023-06-30,,,,0.4087608524072612,,,2023-h1,2023,h1,Insurance,40.87608524072612,3,2023-01-01,50.75419392914733,-9.878108688421207,3.8299999999999983,6.649999999999999
Atom Bank PLC,NO GROUP,2022-10-01 to 2023-03-31,0.4113545816733068,,0.5244565217391305,,,,2023-h1,2023,h1,Banking,46.790555170621865,3,2023-01-01,50.75419392914733,-3.9636387585254624,,
Automobile Association Insurance Services Limited,AUTOMOBILE ASSOCIATION (AA),2022-08-01 to 2023-01-31,,,,0.342571987322139,,,2023-h1,2023,h1,Insurance,34.2571987322139,3,2023-01-01,50.75419392914733,-16.496995196933426,2.3800000000000026,5.700000000000003
Avantia Insurance Limited,NO GROUP,2023-01-01 to 2023-06-30,,,,0.7152317880794702,,,2023-h1,2023,h1,Insurance,71.52317880794702,3,2023-01-01,50.75419392914733,20.76898487879969,,38.61
Aviva Health UK Limited,NO GROUP,2023-01-01 to 2023-06-30,,,,0.4498869630746043,,,2023-h1,2023,h1,Insurance,44.98869630746043,3,2023-01-01,50.75419392914733,-5.765497621686897,,25.74
Aviva Insurance Limited,AVIVA PLC,2023-01-01 to 2023-06-30,,,,0.668539569593891,,,2023-h1,2023,h1,Insurance,66.85395695938911,3,2023-01-01,50.75419392914733,16.099763030241782,-3.740000000000009,9.463956959389115
Aviva Life Services UK Limited,AVIVA PLC,2023-01-01 to 2023-06-30,,0.651370299553856,0.3746630727762803,0.5015781167806418,0.6893424036281179,,2023-h1,2023,h1,Insurance,55.4238473184724,3,2023-01-01,50.75419392914733,4.66965338932507,1.0874999999999844,10.703499999999984
AWP Assistance UK Ltd,ALLIANZ SE,2023-01-01 to 2023-06-30,,,,0.8076782449725777,,,2023-h1,2023,h1,Insurance,80.76782449725776,3,2023-01-01,50.75419392914733,30.01363056811044,0.9900000000000092,17.83
AWP P&C S.A.,NO GROUP,2023-01-01 to 2023-06-30,,,,0.1927083333333333,,,2023-h1,2023,h1,Insurance,19.27083333333333,3,2023-01-01,50.75419392914733,-31.483360595814,,22.749166666666675
AXA Insurance Designated Activity Company,AXA GROUP,2023-01-01 to 2023-06-30,,,,0.499630450849963,,,2023-h1,2023,h1,Insurance,49.9630450849963,3,2023-01-01,50.75419392914733,-0.7911488441510244,,9.240000000000002
AXA Insurance UK Plc,AXA GROUP,2023-01-01 to 2023-06-30,,,,0.6468595943250668,,,2023-h1,2023,h1,Insurance,64.68595943250668,3,2023-01-01,50.75419392914733,13.931765503359353,-8.430000000000007,8.430000000000007
AXA PPP Healthcare Limited,AXA GROUP,2023-01-01 to 2023-06-30,,,,0.5853759675635828,,,2023-h1,2023,h1,Insurance,58.53759675635828,3,2023-01-01,50.75419392914733,7.783402827210956,2.0899999999999963,16.069999999999986
Bank of Ireland (UK) Plc,BANK OF IRELAND GROUP,2023-01-01 to 2023-06-30,0.4535533670481767,,0.3111668757841907,0.1,,,2023-h1,2023,h1,Banking,28.82400809441224,3,2023-01-01,50.75419392914733,-21.930185834735088,-18.405,19.520000000000003
Bank of Scotland plc,LLOYDS BANKING GROUP PLC,2023-01-01 to 2023-06-30,0.6754648399273032,0.2727272727272727,0.5393891255686332,0.0773067331670823,0.3149606299212598,,2023-h1,2023,h1,Banking,37.596972026231015,3,2023-01-01,50.75419392914733,-13.157221902916312,7.421999999999997,9.705027973768985
Barbon Insurance Group Limited,NO GROUP,2023-01-01 to 2023-06-30,,,,0.5268817204301075,,,2023-h1,2023,h1,Insurance,52.68817204301075,3,2023-01-01,50.75419392914733,1.933978113863425,,
Barclays Bank Plc,BARCLAYS PLC,2023-01-01 to 2023-06-30,0.6836587129428778,0.5769230769230769,0.25,0.0,0.5882352941176471,,2023-h1,2023,h1,Banking,41.97634167967203,3,2023-01-01,50.75419392914733,-8.777852249475295,-2.910833333333344,34.24965832032797
Barclays Bank UK PLC,BARCLAYS PLC,2023-01-01 to 2023-06-30,0.6602967845094866,0.3518518518518518,0.7476181217188411,0.1488020176544766,0.5739202657807309,,2023-h1,2023,h1,Banking,49.64978083030774,3,2023-01-01,50.75419392914733,-1.1044130988395864,-12.20600000000001,13.81000000000001
BISL Limited,BGL GROUP,2023-01-01 to 2023-06-30,,,,0.4492229851825081,,,2023-h1,2023,h1,Insurance,44.922298518250805,3,2023-01-01,50.75419392914733,-5.8318954108965215,-6.739999999999995,7.702298518250807
Black Horse Limited,LLOYDS BANKING GROUP PLC,2023-01-01 to 2023-06-30,,,0.5,0.024390243902439,,,2023-h1,2023,h1,Mortgage & Lending,26.21951219512195,3,2023-01-01,50.75419392914733,-24.534681734025376,,45.45
Bradford & Bingley Limited,NO GROUP,2022-10-01 to 2023-03-31,,0.2857142857142857,0.5113960113960114,0.4285714285714285,0.53125,,2023-h1,2023,h1,Investments,43.92329314204314,3,2023-01-01,50.75419392914733,-6.830900787104184,,15.690793142043141
Brightside Insurance Services Limited,NO GROUP,2023-01-01 to 2023-06-30,,,,0.5191313340227508,,,2023-h1,2023,h1,Insurance,51.91313340227508,3,2023-01-01,50.75419392914733,1.1589394731277525,,13.21
British Gas Services Limited,CENTRICA PLC,2023-01-01 to 2023-06-30,,,,0.9885447901049476,,,2023-h1,2023,h1,Energy & Utilities,98.85447901049476,3,2023-01-01,50.75419392914733,48.10028508134743,-3.7099999999999937,3.934479010494755
Bspoke Underwriting Ltd,NO GROUP,2022-09-30 to 2023-03-30,,,,0.6357388316151202,,,2023-h1,2023,h1,Insurance,63.57388316151202,3,2023-01-01,50.75419392914733,12.819689232364697,,
Building Block Insurance PCC Ltd,NO GROUP,2023-01-01 to 2023-06-30,,,,0.3826429980276134,,,2023-h1,2023,h1,Insurance,38.26429980276134,3,2023-01-01,50.75419392914733,-12.489894126385984,,
