Firm Name,Group,Reporting period,Banking and credit cards,Decumulation & pensions,Home finance,Insurance & pure protection,Investments,total_complaints,period,year,half,sector,period_sort
TSB Bank plc,BANCO DE SABADELL SA,2025-01-01 to 2025-06-30,28085.0,,1614.0,23.0,,29722.0,2025-h1,2025,h1,Banking,7
U K Insurance Limited,DIRECT LINE INSURANCE GROUP PLC,2025-01-01 to 2025-06-30,,,,42802.0,,42802.0,2025-h1,2025,h1,Insurance,7
U.S. Bank Europe DAC,NO GROUP,2025-01-01 to 2025-06-30,1732.0,,,,,1732.0,2025-h1,2025,h1,Banking,7
UK Mortgage Lending Ltd,NO GROUP,2025-01-01 to 2025-06-30,,,705.0,,,705.0,2025-h1,2025,h1,Mortgage & Lending,7
USAY BUSINESS LTD,NO GROUP,2025-01-01 to 2025-06-30,,,,666.0,,666.0,2025-h1,2025,h1,Insurance,7
Utility Warehouse Limited,NO GROUP,2024-10-01 to 2025-03-31,,,,3996.0,,3996.0,2025-h1,2025,h1,Insurance,7
"VANGUARD ASSET MANAGEMENT, LTD.",NO GROUP,2025-01-01 to 2025-06-30,,686.0,,,1766.0,2452.0,2025-h1,2025,h1,Energy & Utilities,7
Vanquis Bank Limited,PROVIDENT FINANCIAL PLC,2025-01-01 to 2025-06-30,22086.0,,,,,22086.0,2025-h1,2025,h1,Banking,7
Virgin Money Unit Trust Managers Ltd,NO GROUP,2024-10-01 to 2025-03-31,,381.0,,,529.0,910.0,2025-h1,2025,h1,Banking,7
Vitality Corporate Services Limited,DISCOVERY LIMITED,2025-01-01 to 2025-06-30,,,,10069.0,,10069.0,2025-h1,2025,h1,Insurance,7
Vodafone Limited,NO GROUP,2024-10-01 to 2025-03-31,,,,225.0,,225.0,2025-h1,2025,h1,Insurance,7
Volkswagen Financial Services (UK) Limited,NO GROUP,2025-01-01 to 2025-06-30,,,,35.0,,35.0,2025-h1,2025,h1,Insurance,7
Wesleyan Assurance Society,NO GROUP,2025-01-01 to 2025-06-30,,392.0,,122.0,261.0,775.0,2025-h1,2025,h1,Insurance,7
West Bay Insurance Plc,NO GROUP,2025-01-01 to 2025-06-30,,,,751.0,,751.0,2025-h1,2025,h1,Insurance,7
