Firm Name,Group,Reporting period,Banking and credit cards,Decumulation & pensions,Home finance,Insurance & pure protection,Investments,total_complaints,period,year,half,sector,period_sort
Accord Mortgages Limited,ACCORD MORTGAGES LIMITED,2022-01-01 to 2022-06-30,3.0,,605.0,,,608.0,2022-h1,2022,h1,Mortgage & Lending,1
Acm Ulr Limited,NO GROUP,2022-01-01 to 2022-06-30,,,,1261.0,,1261.0,2022-h1,2022,h1,Insurance,1
Adrian Flux Insurance Services Group,NO GROUP,2021-09-01 to 2022-02-28,,,,1058.0,,1058.0,2022-h1,2022,h1,Insurance,1
Advanced Payment Solutions Limited,NO GROUP,2021-10-01 to 2022-03-31,989.0,,,,,989.0,2022-h1,2022,h1,Banking,1
Advisory Insurance Brokers Limited,NO GROUP,2022-01-01 to 2022-06-30,,,,591.0,,591.0,2022-h1,2022,h1,Insurance,1
Affinity Insurance Solutions Limited,NO GROUP,2022-01-01 to 2022-06-30,,,,1545.0,,1545.0,2022-h1,2022,h1,Insurance,1
Ageas Insurance Limited,AGEAS SA-NV,2022-01-01 to 2022-06-30,,,,5127.0,,5127.0,2022-h1,2022,h1,Insurance,1
Ageas Retail Limited,AGEAS SA-NV,2022-01-01 to 2022-06-30,,,,1666.0,,1666.0,2022-h1,2022,h1,Insurance,1
AIB Group (UK) Plc,AIB GROUP PUBLIC LIMITED COMPANY,2022-01-01 to 2022-06-30,1180.0,,31.0,3.0,,1214.0,2022-h1,2022,h1,Banking,1
Aioi Nissay Dowa Insurance UK Limited,NO GROUP,2022-01-01 to 2022-06-30,,,,2369.0,,2369.0,2022-h1,2022,h1,Insurance,1
AJ Bell Management Limited,NO GROUP,2021-10-01 to 2022-03-31,14.0,489.0,,,,503.0,2022-h1,2022,h1,Insurance,1
Aldermore Bank Plc,FIRSTRAND LIMITED,2022-01-01 to 2022-06-30,785.0,,581.0,,,1366.0,2022-h1,2022,h1,Banking,1
Allianz Insurance Plc,NO GROUP,2022-01-01 to 2022-06-30,,,,4566.0,,4566.0,2022-h1,2022,h1,Insurance,1
American Express Services Europe Limited (AESEL),AMERICAN EXPRESS,2022-01-01 to 2022-06-30,5106.0,,,34.0,,5140.0,2022-h1,2022,h1,Banking,1
AMERICAN INTERNATIONAL GROUP UK LIMITED,"AMERICAN INTERNATIONAL GROUP, INC. (AIG)",2021-12-01 to 2022-05-31,,,,15948.0,,15948.0,2022-h1,2022,h1,Insurance,1
Amtrust Europe Limited,AMTRUST FINANCIAL SERVICES INC,2022-01-01 to 2022-06-30,,,,2491.0,,2491.0,2022-h1,2022,h1,Insurance,1
Animal Friends Insurance Services Ltd,NO GROUP,2022-01-01 to 2022-06-30,,,,3673.0,,3673.0,2022-h1,2022,h1,Insurance,1
Arthur J. Gallagher Insurance Brokers Limited,NO GROUP,2022-01-01 to 2022-06-30,,,,841.0,,841.0,2022-h1,2022,h1,Insurance,1
Assurant General Insurance Limited,ASSURANT INC,2022-01-01 to 2022-06-30,,,,6129.0,,6129.0,2022-h1,2022,h1,Insurance,1
Astrenska Insurance Limited,NO GROUP,2021-11-01 to 2022-04-30,,,,1176.0,,1176.0,2022-h1,2022,h1,Insurance,1
Asurion Europe Limited,NEW ASURION CORP,2022-01-01 to 2022-06-30,,,,2657.0,,2657.0,2022-h1,2022,h1,Insurance,1
ATLANTA 1 INSURANCE SERVICES LIMITED,ARDONAGH GROUP,2022-01-01 to 2022-06-30,,,,3839.0,,3839.0,2022-h1,2022,h1,Insurance,1
Atlanta Insurance Intermediaries Limited,ARDONAGH GROUP LIMITED,2022-01-01 to 2022-06-30,,,,6531.0,,6531.0,2022-h1,2022,h1,Insurance,1
Automobile Association Insurance Services Limited,NO GROUP,2021-08-01 to 2022-01-31,,,,14774.0,,14774.0,2022-h1,2022,h1,Insurance,1
Avantia Insurance Limited,NO GROUP,2022-01-01 to 2022-06-30,,,,451.0,,451.0,2022-h1,2022,h1,Insurance,1
Aviva Insurance Limited,NO GROUP,2022-01-01 to 2022-06-30,,,,52970.0,,52970.0,2022-h1,2022,h1,Insurance,1
Aviva Life Services UK Limited,AVIVA PLC,2022-01-01 to 2022-06-30,,14398.0,1139.0,3688.0,2472.0,21697.0,2022-h1,2022,h1,Insurance,1
AWP Assistance UK Ltd,ALLIANZ SE,2022-01-01 to 2022-06-30,,,,2366.0,,2366.0,2022-h1,2022,h1,Insurance,1
AXA Insurance UK Plc,AXA SA,2022-01-01 to 2022-06-30,,,,24882.0,,24882.0,2022-h1,2022,h1,Insurance,1
AXA PPP Healthcare Limited,AXA SA,2022-01-01 to 2022-06-30,,,,41086.0,,41086.0,2022-h1,2022,h1,Insurance,1
Bank of Ireland (UK) Plc,BANK OF IRELAND GROUP PLC,2022-01-01 to 2022-06-30,4701.0,,867.0,36.0,2.0,5606.0,2022-h1,2022,h1,Banking,1
Bank of Scotland plc,LLOYDS BANKING GROUP PLC,2022-01-01 to 2022-06-30,71571.0,15.0,14193.0,725.0,734.0,87238.0,2022-h1,2022,h1,Banking,1
Barbon Insurance Group Limited,NO GROUP,2022-01-01 to 2022-06-30,,,,509.0,,509.0,2022-h1,2022,h1,Insurance,1
Barclays Bank Plc,BARCLAYS PLC,2022-01-01 to 2022-06-30,8174.0,,4.0,,48.0,8226.0,2022-h1,2022,h1,Banking,1
Barclays Bank UK PLC,BARCLAYS PLC,2022-01-01 to 2022-06-30,90106.0,66.0,9149.0,650.0,1855.0,101826.0,2022-h1,2022,h1,Banking,1
Bennetts Motorcycling Services Limited,NO GROUP,2022-01-01 to 2022-06-30,,,,864.0,,864.0,2022-h1,2022,h1,Insurance,1
BISL Limited,NO GROUP,2022-01-01 to 2022-06-30,,,,6840.0,,6840.0,2022-h1,2022,h1,Insurance,1
Black Horse Limited,BARCLAYS PLC,2022-01-01 to 2022-06-30,,,7.0,395.0,,402.0,2022-h1,2022,h1,Insurance,1
Bradford & Bingley Limited,UK ASSET RESOLUTION LIMITED,2021-10-01 to 2022-03-31,,9.0,479.0,10.0,34.0,532.0,2022-h1,2022,h1,Mortgage & Lending,1
Brightside Insurance Services Limited,NO GROUP,2022-01-01 to 2022-06-30,,,,1042.0,,1042.0,2022-h1,2022,h1,Insurance,1
British Gas Services Limited,CENTRICA PLC,2022-01-01 to 2022-06-30,,,,163040.0,,163040.0,2022-h1,2022,h1,Energy & Utilities,1
BUPA Insurance Services Limited,THE BRITISH UNITED PROVIDENT ASSOCIATION LTD,2022-01-01 to 2022-06-30,,,,12959.0,,12959.0,2022-h1,2022,h1,Insurance,1
Cabot Credit Management Group Limited,NO GROUP,2022-01-01 to 2022-06-30,4413.0,,45.0,,,4458.0,2022-h1,2022,h1,Mortgage & Lending,1
Call Assist Ltd,CALL ASSIST LIMITED,2021-11-01 to 2022-04-30,,,,902.0,,902.0,2022-h1,2022,h1,Insurance,1
Capital One (Europe) plc,CAPITAL ONE FINANCIAL CORPORATION,2022-01-01 to 2022-06-30,17719.0,,,132.0,,17851.0,2022-h1,2022,h1,Banking,1
Car Care Plan Ltd,AMTRUST FINANCIAL SERVICES INC,2022-01-01 to 2022-06-30,,,,817.0,,817.0,2022-h1,2022,h1,Insurance,1
Carfinance247 Limited,NO GROUP,2022-01-01 to 2022-06-30,,,,61.0,,61.0,2022-h1,2022,h1,Mortgage & Lending,1
Carole Nash Insurance Consultants Ltd,ARDONAGH GROUP,2022-01-01 to 2022-06-30,,,,2179.0,,2179.0,2022-h1,2022,h1,Insurance,1
Cater Allen Limited,NO GROUP,2022-01-01 to 2022-06-30,502.0,,,,,502.0,2022-h1,2022,h1,Banking,1
Charter Court Financial Services Limited,NO GROUP,2022-01-01 to 2022-06-30,836.0,,1041.0,,,1877.0,2022-h1,2022,h1,Mortgage & Lending,1
Citibank UK Limited,NO GROUP,2022-01-01 to 2022-06-30,5814.0,,,2.0,46.0,5862.0,2022-h1,2022,h1,Banking,1
ClearBank Limited,NO GROUP,2022-01-01 to 2022-06-30,2131.0,,,,,2131.0,2022-h1,2022,h1,Banking,1
Close Brothers Limited,NO GROUP,2021-08-01 to 2022-01-31,112.0,,,11.0,,123.0,2022-h1,2022,h1,Banking,1
Clydesdale Bank Plc,VIRGIN MONEY UK PLC,2021-10-01 to 2022-03-31,28395.0,2.0,1531.0,45.0,15.0,29988.0,2022-h1,2022,h1,Banking,1
Cofunds Limited,AEGON GROUP,2022-01-01 to 2022-06-30,,73.0,,,1014.0,1087.0,2022-h1,2022,h1,Investments,1
Columbia Threadneedle Management Limited,NO GROUP,2021-11-01 to 2022-04-30,,,,,600.0,600.0,2022-h1,2022,h1,Investments,1
Connells Limited,NO GROUP,2022-01-01 to 2022-06-30,,,576.0,56.0,,632.0,2022-h1,2022,h1,Mortgage & Lending,1
Corgi Homeplan Ltd,US BANCORP,2022-01-01 to 2022-06-30,,,,1201.0,,1201.0,2022-h1,2022,h1,Insurance,1
Coutts & Company,THE ROYAL BANK OF SCOTLAND GROUP,2022-01-01 to 2022-06-30,1688.0,6.0,93.0,10.0,57.0,1854.0,2022-h1,2022,h1,Banking,1
Covea Insurance plc,NO GROUP,2022-01-01 to 2022-06-30,,,,2884.0,,2884.0,2022-h1,2022,h1,Insurance,1
Coventry Building Society,COVENTRY BUILDING SOCIETY,2022-01-01 to 2022-06-30,3151.0,,611.0,3.0,,3765.0,2022-h1,2022,h1,Banking,1
Creation Consumer Finance Ltd,BNP PARIBAS SA,2022-01-01 to 2022-06-30,2369.0,,,,,2369.0,2022-h1,2022,h1,Mortgage & Lending,1
Creation Financial Services Limited,BNP PARIBAS SA,2022-01-01 to 2022-06-30,1253.0,,,4.0,,1257.0,2022-h1,2022,h1,Banking,1
Currys Retail Limited,NO GROUP,2021-11-01 to 2022-04-30,,,,1997.0,,1997.0,2022-h1,2022,h1,Insurance,1
Cynergy Bank Limited,CYNERGY CAPITAL LTD,2022-01-01 to 2022-06-30,730.0,,15.0,,,745.0,2022-h1,2022,h1,Banking,1
DAS Legal Expenses Insurance Company Limited,NO GROUP,2022-01-01 to 2022-06-30,,,,1885.0,,1885.0,2022-h1,2022,h1,Insurance,1
Devitt Insurance Services Ltd,NO GROUP,2022-01-01 to 2022-06-30,,,,705.0,,705.0,2022-h1,2022,h1,Insurance,1
Domestic & General Insurance Plc,CVC CAPITAL PARTNERS ADVISORY GROUP HOLDING FOUNDATION,2021-10-01 to 2022-03-31,,,,39796.0,,39796.0,2022-h1,2022,h1,Insurance,1
Drydens Limited,NO GROUP,2022-01-01 to 2022-06-30,,,5.0,,,5.0,2022-h1,2022,h1,Mortgage & Lending,1
Elderbridge Limited,TECH MAHINDRA LIMITED,2021-10-01 to 2022-03-31,,,1337.0,3.0,,1340.0,2022-h1,2022,h1,Mortgage & Lending,1
Equiniti Financial Services Limited,EQUINITI GROUP PLC,2022-01-01 to 2022-06-30,,13.0,,,3550.0,3563.0,2022-h1,2022,h1,Investments,1
ERGO TRAVEL INSURANCE SERVICES LTD,NO GROUP,2022-01-01 to 2022-06-30,,,,1226.0,,1226.0,2022-h1,2022,h1,Insurance,1
esure Insurance Limited,ESURE GROUP PLC,2022-01-01 to 2022-06-30,,,,14067.0,,14067.0,2022-h1,2022,h1,Insurance,1
EUI Limited,ADMIRAL GROUP PLC,2022-01-01 to 2022-06-30,,,,38558.0,,38558.0,2022-h1,2022,h1,Insurance,1
Europa Group Limited,BLUE BOAR HOLDINGS LIMITED,2022-01-01 to 2022-06-30,,,,970.0,,970.0,2022-h1,2022,h1,Insurance,1
Exeter Friendly Society Limited,EXETER FRIENDLY SOCIETY LIMITED,2022-01-01 to 2022-06-30,,,,544.0,,544.0,2022-h1,2022,h1,Insurance,1
Experian Limited,NO GROUP,2021-10-01 to 2022-03-31,,,1.0,22.0,,23.0,2022-h1,2022,h1,Insurance,1
Extracover Limited,NO GROUP,2022-01-01 to 2022-06-30,,,,649.0,,649.0,2022-h1,2022,h1,Insurance,1
Fairmead Insurance Limited,ALLIANZ SE,2022-01-01 to 2022-06-30,,,,2889.0,,2889.0,2022-h1,2022,h1,Insurance,1
Family Equity Plan Limited,FAMILY ASSURANCE FRIENDLY SOCIETY LTD,2022-01-01 to 2022-06-30,313.0,,,,663.0,976.0,2022-h1,2022,h1,Investments,1
FCE Bank Plc,NO GROUP,2022-01-01 to 2022-06-30,101.0,,,,,101.0,2022-h1,2022,h1,Banking,1
FIL Life Insurance Limited,FIDELITY HOLDINGS LIMITED,2022-01-01 to 2022-06-30,,749.0,,,,749.0,2022-h1,2022,h1,Insurance,1
Financial Administration Services Limited,FIDELITY HOLDINGS LIMITED,2022-01-01 to 2022-06-30,,653.0,,,2505.0,3158.0,2022-h1,2022,h1,Investments,1
First Central Insurance Management Limited,FIRST CENTRAL GROUP LIMITED,2022-01-01 to 2022-06-30,,,,7544.0,,7544.0,2022-h1,2022,h1,Insurance,1
FirstRand Bank Limited,NO GROUP,2022-01-01 to 2022-06-30,,,,37.0,,37.0,2022-h1,2022,h1,Banking,1
Fortegra Europe Insurance Company Ltd,NO GROUP,2022-01-01 to 2022-06-30,,,,2376.0,,2376.0,2022-h1,2022,h1,Insurance,1
Funding Circle Ltd,NO GROUP,2022-01-01 to 2022-06-30,,,,,68.0,68.0,2022-h1,2022,h1,Investments,1
Gresham Insurance Company Limited,NO GROUP,2022-01-01 to 2022-06-30,,,,1329.0,,1329.0,2022-h1,2022,h1,Insurance,1
Halifax Share Dealing Limited,LLOYDS BANKING GROUP PLC,2022-01-01 to 2022-06-30,,26.0,,,898.0,924.0,2022-h1,2022,h1,Investments,1
Hargreaves Lansdown Asset Management Limited,HARGREAVES LANSDOWN PLC,2022-01-01 to 2022-06-30,,581.0,,,1825.0,2406.0,2022-h1,2022,h1,Energy & Utilities,1
Hastings Insurance Services Limited,NO GROUP,2022-01-01 to 2022-06-30,,,,23528.0,,23528.0,2022-h1,2022,h1,Insurance,1
HBOS Investment Fund Managers Limited,LLOYDS BANKING GROUP PLC,2022-01-01 to 2022-06-30,,,,,820.0,820.0,2022-h1,2022,h1,Investments,1
Highway Insurance Company Limited,ALLIANZ SE,2022-01-01 to 2022-06-30,,,,781.0,,781.0,2022-h1,2022,h1,Insurance,1
Hiscox Insurance Company Limited,NO GROUP,2022-01-01 to 2022-06-30,,,,633.0,,633.0,2022-h1,2022,h1,Insurance,1
Home Retail Group Card Services Limited,J SAINSBURY PLC,2021-09-01 to 2022-02-28,4273.0,,,,,4273.0,2022-h1,2022,h1,Banking,1
Homeserve Membership Limited,NO GROUP,2021-10-01 to 2022-03-31,,,,4134.0,,4134.0,2022-h1,2022,h1,Insurance,1
Howserv Limited,STAYSURE HOLDINGS LTD,2022-01-01 to 2022-06-30,,,,1280.0,,1280.0,2022-h1,2022,h1,Insurance,1
HSBC UK Bank Plc,HSBC HOLDINGS PLC,2022-01-01 to 2022-06-30,120515.0,52.0,6779.0,1785.0,1699.0,130830.0,2022-h1,2022,h1,Banking,1
I Go 4 Ltd.,NO GROUP,2022-01-01 to 2022-06-30,,,,1624.0,,1624.0,2022-h1,2022,h1,Insurance,1
Insurance Factory Ltd,MARKERSTUDY HOLDINGS LIMITED,2022-01-01 to 2022-06-30,,,,3268.0,,3268.0,2022-h1,2022,h1,Insurance,1
Integra Insurance Solutions Limited,NO GROUP,2022-01-01 to 2022-06-30,,,,578.0,,578.0,2022-h1,2022,h1,Insurance,1
Inter Partner Assistance SA,NO GROUP,2022-01-01 to 2022-06-30,,,,5735.0,,5735.0,2022-h1,2022,h1,Insurance,1
Interactive Investor Services Limited,INTERACTIVE INVESTOR SERVICES LIMITED,2022-01-01 to 2022-06-30,,122.0,,,1777.0,1899.0,2022-h1,2022,h1,Investments,1
Invesco Fund Managers Limited,NO GROUP,2022-01-01 to 2022-06-30,,,,,556.0,556.0,2022-h1,2022,h1,Investments,1
Investec Bank PLC,INVESTEC PLC,2021-10-01 to 2022-03-31,1738.0,,7.0,,58.0,1803.0,2022-h1,2022,h1,Banking,1
Investment Funds Direct Limited,M&G GROUP,2022-01-01 to 2022-06-30,,287.0,,,307.0,594.0,2022-h1,2022,h1,Investments,1
J D Williams & Company Limited,NO GROUP,2021-09-01 to 2022-02-28,,,,36.0,,36.0,2022-h1,2022,h1,Insurance,1
J.P. Morgan Europe Limited,JPMORGAN CHASE & CO,2022-01-01 to 2022-06-30,3085.0,,,,,3085.0,2022-h1,2022,h1,Banking,1
Kensington Mortgage Company Limited,NO GROUP,2021-10-01 to 2022-03-31,,,1058.0,,,1058.0,2022-h1,2022,h1,Mortgage & Lending,1
Kingfisher Insurance Services Limited,NO GROUP,2022-01-01 to 2022-06-30,,,,910.0,,910.0,2022-h1,2022,h1,Insurance,1
Landmark Mortgages Limited,NO GROUP,2022-01-01 to 2022-06-30,,,873.0,,,873.0,2022-h1,2022,h1,Mortgage & Lending,1
Leeds Building Society,LEEDS BUILDING SOCIETY,2022-01-01 to 2022-06-30,1166.0,,1193.0,6.0,1.0,2366.0,2022-h1,2022,h1,Banking,1
Legal & General Partnership Services Limited,NO GROUP,2022-01-01 to 2022-06-30,,,1726.0,24.0,,1750.0,2022-h1,2022,h1,Mortgage & Lending,1
Legal and General Assurance Society Limited,LEGAL & GENERAL GROUP PLC,2022-01-01 to 2022-06-30,,650.0,,2496.0,,3146.0,2022-h1,2022,h1,Insurance,1
Liverpool Victoria Financial Services Limited,LIVERPOOL VICTORIA FINANCIAL SERVICES LIMITED,2022-01-01 to 2022-06-30,,813.0,,1306.0,545.0,2664.0,2022-h1,2022,h1,Insurance,1
Liverpool Victoria Insurance Company Limited,ALLIANZ SE,2022-01-01 to 2022-06-30,,,,9092.0,,9092.0,2022-h1,2022,h1,Insurance,1
Lloyds Bank General Insurance Limited,LLOYDS BANKING GROUP PLC,2022-01-01 to 2022-06-30,,,,7469.0,,7469.0,2022-h1,2022,h1,Banking,1
Lloyds Bank PLC,LLOYDS BANKING GROUP PLC,2022-01-01 to 2022-06-30,94335.0,87.0,3576.0,1233.0,711.0,99942.0,2022-h1,2022,h1,Banking,1
London and Country Mortgages Ltd,NO GROUP,2022-01-01 to 2022-06-30,,,885.0,31.0,,916.0,2022-h1,2022,h1,Mortgage & Lending,1
M & G Securities Limited,NO GROUP,2022-01-01 to 2022-06-30,,,,,974.0,974.0,2022-h1,2022,h1,Investments,1
ManyPets Ltd,NO GROUP,2021-10-01 to 2022-03-31,,,,1871.0,,1871.0,2022-h1,2022,h1,Insurance,1
Markerstudy Insurance Services Limited,MARKERSTUDY (INTERNATIONAL) LIMITED,2022-01-01 to 2022-06-30,,,,10120.0,,10120.0,2022-h1,2022,h1,Insurance,1
Marks & Spencer Financial Services Plc,HSBC HOLDINGS PLC,2022-01-01 to 2022-06-30,15027.0,,,582.0,,15609.0,2022-h1,2022,h1,Banking,1
Marshmallow Financial Services Ltd,NO GROUP,2022-01-01 to 2022-06-30,,,,1092.0,,1092.0,2022-h1,2022,h1,Insurance,1
MBNA Limited,LLOYDS BANKING GROUP PLC,2022-01-01 to 2022-06-30,12130.0,,,224.0,,12354.0,2022-h1,2022,h1,Banking,1
MCE Insurance Limited,NO GROUP,2021-12-01 to 2022-05-31,,,,262.0,,262.0,2022-h1,2022,h1,Insurance,1
Metro Bank PLC,METRO BANK PLC,2022-01-01 to 2022-06-30,7359.0,,177.0,,14.0,7550.0,2022-h1,2022,h1,Banking,1
Monzo Bank Ltd,MONZO BANK LIMITED,2021-09-01 to 2022-02-28,35480.0,,,,,35480.0,2022-h1,2022,h1,Banking,1
Moorcroft Debt Recovery Limited,NO GROUP,2021-08-01 to 2022-01-31,557.0,,,,,557.0,2022-h1,2022,h1,Banking,1
Mortimer Clarke Solicitors Limited,CABOT CREDIT MANAGEMENT GROUP,2022-01-01 to 2022-06-30,1016.0,,,,,1016.0,2022-h1,2022,h1,Banking,1
MotoNovo Finance Limited,NO GROUP,2022-01-01 to 2022-06-30,,,,63.0,,63.0,2022-h1,2022,h1,Mortgage & Lending,1
National House-Building Council,NATIONAL HOUSE-BUILDING COUNCIL,2021-10-01 to 2022-03-31,,,,645.0,,645.0,2022-h1,2022,h1,Insurance,1
National Westminster Bank Plc,THE ROYAL BANK OF SCOTLAND GROUP,2022-01-01 to 2022-06-30,65063.0,18.0,5046.0,332.0,218.0,70677.0,2022-h1,2022,h1,Banking,1
Nationwide Building Society,NATIONWIDE BUILDING SOCIETY,2021-10-05 to 2022-04-04,51982.0,4.0,5422.0,707.0,220.0,58335.0,2022-h1,2022,h1,Banking,1
Northern Bank Limited,DANSKE BANK A/S,2022-01-01 to 2022-06-30,1671.0,,75.0,2.0,2.0,1750.0,2022-h1,2022,h1,Banking,1
One Call Insurance Services Limited,NO GROUP,2022-01-01 to 2022-06-30,,,,3597.0,,3597.0,2022-h1,2022,h1,Insurance,1
OneSavings Bank Plc,ONESAVINGS BANK PLC,2022-01-01 to 2022-06-30,1072.0,,894.0,2.0,,1968.0,2022-h1,2022,h1,Banking,1
OVO (S) HOME SERVICES LIMITED,SSE PLC,2022-01-01 to 2022-06-30,,,,1031.0,,1031.0,2022-h1,2022,h1,Insurance,1
Paragon Bank Plc,PARAGON BANKING GROUP PLC,2021-10-01 to 2022-03-31,668.0,,281.0,6.0,,955.0,2022-h1,2022,h1,Banking,1
People's Administration Services Limited,NO GROUP,2021-10-01 to 2022-03-31,,4341.0,,,,4341.0,2022-h1,2022,h1,Insurance,1
Pepper (UK) Limited,NO GROUP,2022-01-01 to 2022-06-30,,,807.0,,,807.0,2022-h1,2022,h1,Mortgage & Lending,1
Phoenix Life Assurance Limited,PHOENIX GROUP HOLDINGS PLC,2022-01-01 to 2022-06-30,,1537.0,,292.0,139.0,1968.0,2022-h1,2022,h1,Insurance,1
Phoenix Life Limited,PHOENIX GROUP HOLDINGS PLC,2022-01-01 to 2022-06-30,,2886.0,,2856.0,661.0,6403.0,2022-h1,2022,h1,Insurance,1
Pinnacle Insurance Plc,BNP PARIBAS SA,2022-01-01 to 2022-06-30,,,,3440.0,,3440.0,2022-h1,2022,h1,Insurance,1
Plata Finance Limited,NO GROUP,2022-01-01 to 2022-06-30,,,,,287.0,287.0,2022-h1,2022,h1,Mortgage & Lending,1
Post Office Management Services Limited,POST OFFICE LIMITED,2021-10-01 to 2022-03-31,,,,758.0,,758.0,2022-h1,2022,h1,Insurance,1
Principality Building Society,PRINCIPALITY BUILDING SOCIETY,2022-01-01 to 2022-06-30,447.0,,402.0,7.0,3.0,859.0,2022-h1,2022,h1,Banking,1
PSA Finance UK Limited,NO GROUP,2022-01-01 to 2022-06-30,,,,4.0,,4.0,2022-h1,2022,h1,Mortgage & Lending,1
QBE UK Limited,NO GROUP,2022-01-01 to 2022-06-30,,,,524.0,,524.0,2022-h1,2022,h1,Insurance,1
Qmetric Group Limited,NO GROUP,2021-10-01 to 2022-03-31,,,,1991.0,,1991.0,2022-h1,2022,h1,Insurance,1
Quilter Investment Platform Limited,QUILTER PLC,2022-01-01 to 2022-06-30,,,,,766.0,766.0,2022-h1,2022,h1,Investments,1
Quilter Life & Pensions Limited,QUILTER PLC GROUP,2022-01-01 to 2022-06-30,,946.0,,,131.0,1077.0,2022-h1,2022,h1,Insurance,1
RAC Motoring Services,NO GROUP,2022-01-01 to 2022-06-30,,,,6520.0,,6520.0,2022-h1,2022,h1,Insurance,1
RBS Collective Investment Funds Limited,THE ROYAL BANK OF SCOTLAND GROUP,2022-01-01 to 2022-06-30,,,,,2621.0,2621.0,2022-h1,2022,h1,Investments,1
ReAssure Life Limited,NO GROUP,2022-01-01 to 2022-06-30,,350.0,,304.0,179.0,833.0,2022-h1,2022,h1,Insurance,1
ReAssure Limited,SWISS RE AG,2022-01-01 to 2022-06-30,,3639.0,3.0,574.0,745.0,4961.0,2022-h1,2022,h1,Insurance,1
Reassured Ltd,NO GROUP,2021-08-01 to 2022-01-31,,,,618.0,,618.0,2022-h1,2022,h1,Insurance,1
Rock Insurance Services Limited,NO GROUP,2022-01-01 to 2022-06-30,,,,789.0,,789.0,2022-h1,2022,h1,Insurance,1
Royal & Sun Alliance Insurance Limited,RSA INSURANCE UK,2022-01-01 to 2022-06-30,,,,20557.0,,20557.0,2022-h1,2022,h1,Insurance,1
Sabre Insurance Company Limited,NO GROUP,2022-01-01 to 2022-06-30,,,,534.0,,534.0,2022-h1,2022,h1,Insurance,1
Saga Services Limited,SAGA PLC,2021-08-01 to 2022-01-31,,,,14626.0,,14626.0,2022-h1,2022,h1,Insurance,1
Sainsbury's Bank Plc,NO GROUP,2021-09-01 to 2022-02-28,8458.0,,123.0,1511.0,,10092.0,2022-h1,2022,h1,Banking,1
Santander ISA Managers Limited,SANTANDER UK - GROUP,2022-01-01 to 2022-06-30,,,,,501.0,501.0,2022-h1,2022,h1,Investments,1
Santander UK Plc,SANTANDER UK - GROUP,2022-01-01 to 2022-06-30,74844.0,22.0,6543.0,254.0,115.0,81778.0,2022-h1,2022,h1,Banking,1
Scottish Equitable Plc,AEGON NV,2022-01-01 to 2022-06-30,,4169.0,,418.0,54.0,4641.0,2022-h1,2022,h1,Insurance,1
Scottish Friendly Assurance Society Limited,NO GROUP,2022-01-01 to 2022-06-30,,413.0,,297.0,606.0,1316.0,2022-h1,2022,h1,Insurance,1
Scottish Widows Administration Services Limited,NO GROUP,2022-01-01 to 2022-06-30,,532.0,,,,532.0,2022-h1,2022,h1,Insurance,1
Scottish Widows Limited,LLOYDS BANKING GROUP PLC,2022-01-01 to 2022-06-30,,5785.0,,1799.0,2032.0,9616.0,2022-h1,2022,h1,Insurance,1
Scottish Widows Unit Trust Managers Limited,LLOYDS BANKING GROUP PLC,2022-01-01 to 2022-06-30,,,,,561.0,561.0,2022-h1,2022,h1,Investments,1
Secure Trust Bank Plc,NO GROUP,2022-01-01 to 2022-06-30,503.0,,,1.0,,504.0,2022-h1,2022,h1,Banking,1
Shawbrook Bank Limited,SHAWBROOK GROUP PLC,2022-01-01 to 2022-06-30,1437.0,,571.0,,,2008.0,2022-h1,2022,h1,Banking,1
Shop Direct Finance Company Limited,NO GROUP,2022-01-01 to 2022-06-30,,,,419.0,,419.0,2022-h1,2022,h1,Mortgage & Lending,1
Simplyhealth Access,SIMPLYHEALTH GROUP LIMITED,2022-01-01 to 2022-06-30,,,,2925.0,,2925.0,2022-h1,2022,h1,Insurance,1
Skipton Building Society,SKIPTON BUILDING SOCIETY,2022-01-01 to 2022-06-30,1860.0,39.0,634.0,4.0,282.0,2819.0,2022-h1,2022,h1,Banking,1
Society of Lloyd's,SOCIETY OF LLOYD'S,2022-01-01 to 2022-06-30,,,,4444.0,,4444.0,2022-h1,2022,h1,Insurance,1
Somerset Bridge Insurance Services Limited,NO GROUP,2022-01-01 to 2022-06-30,,,,735.0,,735.0,2022-h1,2022,h1,Insurance,1
St James's Place UK plc,ST. JAMES'S PLACE PLC,2022-01-01 to 2022-06-30,,478.0,,18.0,188.0,684.0,2022-h1,2022,h1,Insurance,1
St. James's Place Wealth Management Plc,NO GROUP,2022-01-01 to 2022-06-30,,301.0,18.0,38.0,419.0,776.0,2022-h1,2022,h1,Investments,1
Standard Life Assurance Limited,PHOENIX GROUP HOLDINGS PLC,2022-01-01 to 2022-06-30,,2611.0,6.0,44.0,171.0,2832.0,2022-h1,2022,h1,Insurance,1
Starling Bank Limited,NO GROUP,2021-10-01 to 2022-03-31,4030.0,,,,,4030.0,2022-h1,2022,h1,Banking,1
Studio Retail Limited,NO GROUP,2021-11-01 to 2022-04-30,,,,25.0,,25.0,2022-h1,2022,h1,Insurance,1
Sun Life Assurance Company of Canada (U.K.) Limited,SUN LIFE FINANCIAL INC.,2022-01-01 to 2022-06-30,,1110.0,,846.0,216.0,2172.0,2022-h1,2022,h1,Insurance,1
Target Servicing Limited,NO GROUP,2021-10-01 to 2022-03-31,,,970.0,,,970.0,2022-h1,2022,h1,Mortgage & Lending,1
