Firm Name,firm_yoy_change,sector,change_bucket
One Call Insurance Services Limited,1.2600000000000016,Insurance,4. 0 to 5%
OneSavings Bank Plc,-7.431666666666658,Banking,2. -10 to -5%
Paragon Bank Plc,-9.13333333333334,Banking,2. -10 to -5%
People's Administration Services Limited,16.93,Insurance,6. > 10%
Pepper (UK) Limited,6.019999999999996,Mortgage & Lending,5. 5 to 10%
Phoenix Life Limited,-14.585,Insurance,1. < -10%
Principality Building Society,-12.48916666666667,Banking,1. < -10%
QBE UK Limited,-29.029999999999994,Insurance,1. < -10%
Qmetric Group Limited,24.05,Insurance,6. > 10%
Quilter Life & Pensions Limited,-6.750000000000014,Insurance,2. -10 to -5%
RBS Collective Investment Funds Limited,-58.24000000000001,Investments,1. < -10%
ReAssure Life Limited,15.083333333333329,Insurance,6. > 10%
ReAssure Limited,-2.3075000000000045,Insurance,3. -5 to 0%
Reassured Ltd,-18.729999999999997,Insurance,1. < -10%
Saga Services Limited,-8.429999999999993,Insurance,2. -10 to -5%
Sainsbury's Bank Plc,-21.911666666666676,Banking,1. < -10%
Santander UK Plc,19.692,Insurance,6. > 10%
Scottish Equitable Plc,13.536666666666669,Insurance,6. > 10%
Scottish Friendly Assurance Society Limited,-5.116666666666674,Insurance,2. -10 to -5%
Scottish Widows Unit Trust Managers Limited,4.159999999999997,Investments,4. 0 to 5%
Shawbrook Bank Limited,-2.0449999999999946,Banking,3. -5 to 0%
Simplyhealth Access,-3.039999999999999,Insurance,3. -5 to 0%
Skipton Building Society,-1.5759999999999792,Banking,3. -5 to 0%
Society of Lloyd's,1.3299999999999983,Insurance,4. 0 to 5%
Somerset Bridge Insurance Services Limited,-13.200000000000003,Insurance,1. < -10%
St. James's Place Wealth Management Plc,6.549500000000002,Insurance,5. 5 to 10%
Starling Bank Limited,16.58,Banking,6. > 10%
Telefonica Seguros y Reaseguros Compania Aseguradora S.A.U.,-9.209999999999994,Insurance,2. -10 to -5%
Tesco Underwriting Limited,1.4199999999999946,Insurance,4. 0 to 5%
The Co-operative Bank Plc,13.438000000000002,Banking,6. > 10%
The Mortgage Works (UK) Plc,-0.8299999999999983,Mortgage & Lending,3. -5 to 0%
The National Farmers' Union Mutual Insurance Society Limited,5.823333333333331,Insurance,5. 5 to 10%
The Prudential Assurance Company Limited,-7.872500000000002,Insurance,2. -10 to -5%
The Royal Bank of Scotland Plc,-7.1340000000000074,Banking,2. -10 to -5%
The Royal London Mutual Insurance Society Limited,1.7733333333333263,Insurance,4. 0 to 5%
Topaz Finance Limited,-11.839999999999996,Mortgage & Lending,1. < -10%
TSB Bank plc,-14.63666666666667,Banking,1. < -10%
U K Insurance Limited,-5.590000000000003,Insurance,2. -10 to -5%
Vanquis Bank Limited,-13.150000000000002,Banking,1. < -10%
Vitality Corporate Services Limited,-20.860000000000007,Insurance,1. < -10%
Vodafone Limited,-6.43,Insurance,2. -10 to -5%
Xbridge Limited,8.389999999999993,Insurance,5. 5 to 10%
Yorkshire Building Society,-19.27916666666667,Banking,1. < -10%
Zopa Bank Limited,1.6300000000000026,Banking,4. 0 to 5%
Zurich Assurance Ltd,-2.8233333333333306,Insurance,3. -5 to 0%
